"prefecture","year","population","birth_male","birth_female","spending","food_expenses"
"北海道",2019,5250000,15988,15032,294682,72912
"北海道",2018,5286000,16681,15961,281054,69044
"北海道",2017,5320000,17503,16537,286698,69640
"北海道",2016,5352000,17888,17237,287325,69445
"北海道",2015,5381733,18838,17857,272124,65912
"北海道",2014,5410000,19010,18048,285154,65450
"北海道",2013,5438000,19558,18632,279190,63975
"北海道",2012,5465000,19750,18936,281574,63444
"北海道",2011,5488000,20010,19282,270689,62996
"北海道",2010,5506419,20518,19640,300961,64746
"北海道",2009,5524000,20649,19516,288835,62866
"北海道",2008,5548000,21005,20069,288692,64770
"青森県",2019,1246000,3682,3488,243609,66593
"青森県",2018,1263000,3980,3823,251459,68455
"青森県",2017,1278000,4104,3931,246650,69216
"青森県",2016,1293000,4380,4246,236801,69202
"青森県",2015,1308265,4400,4221,226214,61805
"青森県",2014,1323000,4508,4345,243627,63139
"青森県",2013,1337000,4725,4401,246445,62383
"青森県",2012,1350000,4771,4397,251153,61839
"青森県",2011,1363000,4772,4759,260743,64734
"青森県",2010,1373339,4949,4762,250433,64016
"青森県",2009,1383000,4873,4650,260264,65269
"青森県",2008,1395000,5267,4920,262682,66660
"岩手県",2019,1227000,3582,3392,295396,75776
"岩手県",2018,1241000,3853,3762,286710,75110
"岩手県",2017,1255000,4132,4043,276258,71755
"岩手県",2016,1268000,4296,4045,288989,71061
"岩手県",2015,1279594,4473,4341,286439,70729
"岩手県",2014,1290000,4536,4267,273964,68915
"岩手県",2013,1299000,4766,4465,276415,65103
"岩手県",2012,1306000,4776,4500,275001,67891
"岩手県",2011,1315000,4696,4614,279059,70157
"岩手県",2010,1330147,4939,4806,283340,66158
"岩手県",2009,1340000,5090,4814,287931,67219
"岩手県",2008,1352000,5321,4902,288272,67645
"宮城県",2019,2306000,7745,7202,276204,77920
"宮城県",2018,2316000,8251,7960,274585,72541
"宮城県",2017,2323000,8593,8055,280273,71418
"宮城県",2016,2330000,8903,8444,281024,74103
"宮城県",2015,2333899,9312,8687,267661,70741
"宮城県",2014,2335000,9385,8684,287881,71623
"宮城県",2013,2333000,9692,9257,289429,70398
"宮城県",2012,2329000,9527,9180,295433,69929
"宮城県",2011,2326000,9196,8866,247346,62067
"宮城県",2010,2348165,9810,9316,287507,67004
"宮城県",2009,2348000,9769,9219,288513,70060
"宮城県",2008,2349000,10086,9777,292660,68589
"秋田県",2019,966000,2403,2293,261579,69080
"秋田県",2018,981000,2545,2495,280058,71840
"秋田県",2017,996000,2730,2666,260696,69879
"秋田県",2016,1010000,2841,2825,255168,65222
"秋田県",2015,1023119,3044,2817,249778,64037
"秋田県",2014,1037000,3098,2900,266560,63825
"秋田県",2013,1050000,3118,3059,272864,64728
"秋田県",2012,1063000,3281,3262,295071,67455
"秋田県",2011,1075000,3400,3258,288574,65869
"秋田県",2010,1085997,3450,3238,276281,66638
"秋田県",2009,1097000,3594,3419,280723,65816
"秋田県",2008,1109000,3740,3681,295181,69540
"山形県",2019,1078000,3284,3117,306269,77343
"山形県",2018,1090000,3579,3394,305472,73583
"山形県",2017,1102000,3729,3530,308816,77619
"山形県",2016,1113000,3886,3661,333408,76545
"山形県",2015,1123891,3968,3863,308953,72514
"山形県",2014,1134000,4049,3917,308555,71496
"山形県",2013,1144000,4148,4011,314882,70186
"山形県",2012,1153000,4206,4006,299735,66691
